"TL","Territory level and Typology","REG_ID","Region","VAR","Indicator","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions (TL2)","SE22","South Sweden","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2014","2014",,,"0","Units",,,84.44,,
"2","Large regions (TL2)","SE23","West Sweden","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2002","2002",,,"0","Units",,,80.1,,
"2","Large regions (TL2)","SE23","West Sweden","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2006","2006",,,"0","Units",,,82.05,,
"2","Large regions (TL2)","SE23","West Sweden","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2010","2010",,,"0","Units",,,84.86,,
"2","Large regions (TL2)","SE23","West Sweden","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2014","2014",,,"0","Units",,,85.77,,
"2","Large regions (TL2)","SE31","North Middle Sweden","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2002","2002",,,"0","Units",,,78.4,,
"2","Large regions (TL2)","SE31","North Middle Sweden","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2006","2006",,,"0","Units",,,80.33,,
"2","Large regions (TL2)","SE31","North Middle Sweden","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2010","2010",,,"0","Units",,,83.56,,
"2","Large regions (TL2)","SE31","North Middle Sweden","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2014","2014",,,"0","Units",,,85.87,,
"2","Large regions (TL2)","SE32","Central Norrland","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2002","2002",,,"0","Units",,,78.8,,
"2","Large regions (TL2)","SE32","Central Norrland","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2006","2006",,,"0","Units",,,80.95,,
"2","Large regions (TL2)","SE32","Central Norrland","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2010","2010",,,"0","Units",,,84.06,,
"2","Large regions (TL2)","SE32","Central Norrland","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2014","2014",,,"0","Units",,,85.83,,
"2","Large regions (TL2)","SE33","Upper Norrland","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2002","2002",,,"0","Units",,,80.7,,
"2","Large regions (TL2)","SE33","Upper Norrland","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2006","2006",,,"0","Units",,,82.35,,
"2","Large regions (TL2)","SE33","Upper Norrland","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2010","2010",,,"0","Units",,,85.15,,
"2","Large regions (TL2)","SE33","Upper Norrland","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2014","2014",,,"0","Units",,,86.24,,
"1","Country","CHE","Switzerland","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2003","2003",,,"0","Units",,,45.3,,
"1","Country","CHE","Switzerland","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2007","2007",,,"0","Units",,,48.3,,
"2","Large regions (TL2)","CH01","Lake Geneva Region","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2003","2003",,,"0","Units",,,46.2,,
"2","Large regions (TL2)","CH01","Lake Geneva Region","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2007","2007",,,"0","Units",,,48.7,,
"2","Large regions (TL2)","CH01","Lake Geneva Region","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,46.7,,
"2","Large regions (TL2)","CH02","Espace Mittelland","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2003","2003",,,"0","Units",,,44.3,,
"2","Large regions (TL2)","CH02","Espace Mittelland","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2007","2007",,,"0","Units",,,47.5,,
"2","Large regions (TL2)","CH02","Espace Mittelland","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,49.1,,
"2","Large regions (TL2)","CH03","Northwestern Switzerland ","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2003","2003",,,"0","Units",,,44.1,,
"2","Large regions (TL2)","CH03","Northwestern Switzerland ","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2007","2007",,,"0","Units",,,49.1,,
"2","Large regions (TL2)","CH03","Northwestern Switzerland ","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,48.7,,
"2","Large regions (TL2)","CH04","Zurich","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2003","2003",,,"0","Units",,,45.1,,
"2","Large regions (TL2)","CH04","Zurich","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2007","2007",,,"0","Units",,,49,,
"2","Large regions (TL2)","CH04","Zurich","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,46.8,,
"2","Large regions (TL2)","CH05","Eastern Switzerland","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2003","2003",,,"0","Units",,,43.1,,
"2","Large regions (TL2)","CH05","Eastern Switzerland","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2007","2007",,,"0","Units",,,45.6,,
"2","Large regions (TL2)","CH05","Eastern Switzerland","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,46.8,,
