"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2016","2016","EUR","Euro","0","Units",,,0.903421,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2017","2017","EUR","Euro","0","Units",,,0.885206,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2018","2018","EUR","Euro","0","Units",,,0.846773,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2019","2019","EUR","Euro","0","Units",,,0.893276,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2020","2020","EUR","Euro","0","Units",,,0.875506,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2021","2021","EUR","Euro","0","Units",,,0.845494,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2022","2022","EUR","Euro","0","Units",,,0.949624,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2008","2008","INR","Indian Rupee","0","Units",,,12.567122,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2009","2009","INR","Indian Rupee","0","Units",,,13.366222,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2010","2010","INR","Indian Rupee","0","Units",,,14.597721,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2011","2011","INR","Indian Rupee","0","Units",,,15.549549,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2012","2012","INR","Indian Rupee","0","Units",,,16.160835,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2013","2013","INR","Indian Rupee","0","Units",,,17.342325,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2014","2014","INR","Indian Rupee","0","Units",,,18.386549,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2015","2015","INR","Indian Rupee","0","Units",,,19.235003,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2016","2016","INR","Indian Rupee","0","Units",,,19.898727,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2017","2017","INR","Indian Rupee","0","Units",,,20.647793,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2018","2018","INR","Indian Rupee","0","Units",,,20.949321,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2019","2019","INR","Indian Rupee","0","Units",,,21.073227,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2020","2020","INR","Indian Rupee","0","Units",,,21.988508,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2021","2021","INR","Indian Rupee","0","Units",,,23.215293,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2022","2022","INR","Indian Rupee","0","Units",,,24.059486,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2008","2008","PLN","Zloty","0","Units",,,1.758255,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2009","2009","PLN","Zloty","0","Units",,,1.804516,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2010","2010","PLN","Zloty","0","Units",,,1.712812,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2011","2011","PLN","Zloty","0","Units",,,1.714588,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2012","2012","PLN","Zloty","0","Units",,,1.681601,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2013","2013","PLN","Zloty","0","Units",,,1.662055,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2014","2014","PLN","Zloty","0","Units",,,1.67568,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2015","2015","PLN","Zloty","0","Units",,,1.666995,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2016","2016","PLN","Zloty","0","Units",,,1.637035,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2017","2017","PLN","Zloty","0","Units",,,1.666443,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2018","2018","PLN","Zloty","0","Units",,,1.678056,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2019","2019","PLN","Zloty","0","Units",,,1.662509,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2020","2020","PLN","Zloty","0","Units",,,1.682152,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2021","2021","PLN","Zloty","0","Units",,,1.775254,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2008","2008","GBP","Pound Sterling","0","Units",,,0.727348,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2009","2009","GBP","Pound Sterling","0","Units",,,0.752317,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2010","2010","GBP","Pound Sterling","0","Units",,,0.742578,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2011","2011","GBP","Pound Sterling","0","Units",,,0.748328,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2012","2012","GBP","Pound Sterling","0","Units",,,0.742583,,
